.meta.slug,.book_state,.title,.salesforce_abbreviation,.salesforce_name,.salesforce_book_id,.publish_date,.created,.updated,.book_subjects[0].subject_name,.is_ap,.cover_url,.title_image_url,.cover_color,.book_cover_text_color,.reverse_gradient,.print_isbn_10,.print_isbn_13,.print_softcover_isbn_10,.print_softcover_isbn_13,.digital_isbn_10,.digital_isbn_13,.ibook_isbn_10,.ibook_isbn_13,.ibook_volume_2_isbn_10,.ibook_volume_2_isbn_13,.license_url,.high_resolution_pdf_url,.low_resolution_pdf_url,.community_resource_url,.community_resource_feature_link_url,.community_resource_feature_text,.ibook_link,.ibook_link_volume_2,.webview_link,.webview_rex_link,.enable_study_edge,.bookshare_link,.amazon_coming_soon,.amazon_link,.kindle_link,.chegg_link,.bookstore_coming_soon,.comp_copy_available,.tutor_marketing_book,.last_updated_pdf,.adoptions,.savings,.cnx_id,.description
"algebra-and-trigonometry","retired","Algebra and Trigonometry","Algebra and Trigonometry","Algebra and Trigonometry",,"2015-02-13","2016-03-09T09:53:01.497000-06:00","2022-03-23T16:58:00-05:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/algebra_trigonometry.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_AlgebraandTrig_1.svg","red","yellow",false,"1-938168-37-2","978-1-938168-37-6",,"978-1-50669-800-7","1-947172-10-7","978-1-947172-10-4",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/AlgebraAndTrigonometry-OP_1tE6R5r.pdf",,"https://www.oercommons.org/groups/openstax-algebra-and-trigonometry/1045/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/OpenStax_Algebra__Trigonometry_Recorded_Lectures_and_Notes_for_Precalculus.pdf","Algebra and Trigonometry recorded lectures and notes","","","https://cnx.org/contents/13ac107a-f15f-49d2-97e8-60ab2e3b519c","https://openstax.org/books/algebra-and-trigonometry/pages/1-introduction-to-prerequisites",true,"",false,"https://buyprint.openstax.org/algebra-and-trigonometry","https://amzn.to/38DGILh",,false,false,false,,806,34930101,"13ac107a-f15f-49d2-97e8-60ab2e3b519c","<p data-block-key=""b0flc""><i>Algebra and Trigonometry</i> provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book meets the needs of a variety of courses. <i>Algebra and Trigonometry</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p>"
"algebra-and-trigonometry-2e","live","Algebra and Trigonometry 2e","Algebra and Trigonometry","Algebra and Trigonometry",,"2021-12-21","2021-12-02T15:49:17.940000-06:00","2022-12-16T16:03:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/algebra_trigonometry_2e.svg","https://assets.openstax.org/oscms-prodcms/media/documents/algebra_and_trigonometry_2e.svg","yellow","red",false,,"978-1-711494-04-3",,"978-1-711494-03-6",,"978-1-951693-40-4",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Algebra-and-Trigonometry-2e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-algebra-and-trigonometry/1045/?__hub_id=27",,"","","","https://cnx.org/contents/eaefdaf1-bda0-4ada-a9fe-f1c065bfcc4e","https://openstax.org/books/algebra-and-trigonometry-2e/pages/1-introduction-to-prerequisites",false,"",false,"","",,false,false,false,,806,34930101,"eaefdaf1-bda0-4ada-a9fe-f1c065bfcc4e","<p data-block-key=""mki1q""><i>Algebra and Trigonometry 2e</i> provides a comprehensive exploration of mathematical principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book addresses the needs of a variety of courses. <i>Algebra and Trigonometry</i> <i>2e</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p><p data-block-key=""53d3c""></p><p data-block-key=""83om9"">The <i>Algebra and Trigonometry 2e</i> revision focused on improving relevance and representation as well as mathematical clarity and accuracy. Introductory narratives, examples, and problems were reviewed and revised using a diversity, equity, and inclusion framework. Many contexts, scenarios, and images have been changed to become even more relevant to students’ lives and interests. To maintain our commitment to accuracy and precision, examples, exercises, and solutions were reviewed by multiple faculty experts. All improvement suggestions and errata updates from the first edition were considered and unified across the different formats of the text. The first edition of <i>Algebra and Trigonometry</i> by OpenStax is available in web view <a href=""https://openstax.org/books/algebra-and-trigonometry/pages/1-introduction-to-prerequisites"">here</a>.</p><p data-block-key=""1ibhp""></p><p data-block-key=""dqqu2"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
"american-government","retired","American Government","American Government","American Government",,"2016-07-14","2016-05-13T16:29:19.913000-05:00","2019-10-14T15:40:00-05:00","Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/american_government.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_AmericanGovernment_1.svg","light-blue","yellow",false,"1-938168-17-8","978-1-938168-17-8",,,"1-947172-19-0","978-1-947172-19-7","1-938168-05-4","978-1-938168-05-5",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/AmericanGovernment-OP.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/AmericanGovernment-LR.pdf","https://www.oercommons.org/groups/openstax-american-government/1093/?__hub_id=27",,"","https://itunes.apple.com/us/book/american-government/id1161875541?mt=13","","https://cnx.org/contents/5bcc0e59-7345-421d-8507-a1e4608685e8","",false,"",false,"","https://www.amazon.com/American-Government-Glen-Krutz-ebook/dp/B075FC3H1K/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=1487972159&sr=1-26","https://www.chegg.com/etextbooks/american-government-1st-edition-9781947172197-1947172190?trackid=18c265bd2690&strackid=0471cf28b793",false,true,false,,,,"5bcc0e59-7345-421d-8507-a1e4608685e8","<p><i>American Government</i> is designed to meet the scope and sequence requirements of the single-semester American government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected Module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American government and understand how those concepts apply to their lives and the world around them. <i>American Government</i> includes updated information on the 2016 presidential election.</p>"
"american-government-2e","retired","American Government 2e","American Government","American Government",,"2019-02-21","2016-05-13T16:29:19.913000-05:00","2022-06-27T14:35:00-05:00","Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/american_government_2e_book_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/american_government_2e.svg","red","yellow",false,"1-947172-65-4","978-1-947172-65-4",,"978-1-59399-576-8","1-947172-66-2","978-1-947172-66-1",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/american-government-2e-6.11.pdf",,"https://www.oercommons.org/groups/openstax-american-government/1093/?__hub_id=27",,"","","","https://cnx.org/contents/9d8df601-4f12-4ac1-8224-b450bf739e5f","https://openstax.org/books/american-government-2e/pages/1-introduction",true,"",true,"https://buyprint.openstax.org/american-government-2e","https://amzn.to/3oGeHIR",,false,true,false,,1417,67091121,"9d8df601-4f12-4ac1-8224-b450bf739e5f","<p data-block-key=""9r2ce""><i>American Government 2e</i> is designed to meet the scope and sequence requirements of the single-semester American Government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American Government and understand how those concepts apply to their lives and the world around them.</p><p data-block-key=""oqupy"">Changes made in<i> American Government 2e</i> are described in the preface to help instructors transition to the second edition. The first edition of <i>American Government</i> by OpenStax is available in web view <a href=""https://cnx.org/contents/W8wOWXNF"">here</a>.</p>"
"american-government-3e","live","American Government 3e","American Government","American Government 3e",,"2021-07-28","2021-07-08T13:51:35.990000-05:00","2023-02-24T22:24:00-06:00","Social Sciences",false,"https://assets.openstax.org/oscms-prodcms/media/documents/american_government_3e_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/american_government_3e.svg","light-blue","red",false,,"978-1-711493-96-1",,"978-1-711493-95-4",,"978-1-951693-38-1",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/AmericanGovernment3e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-american-government/1093/?__hub_id=27",,"","","","https://cnx.org/contents/30e47181-f52c-4a91-9c11-33380c428268","https://openstax.org/books/american-government-3e/pages/1-introduction",false,"",true,"https://buyprint.openstax.org/american-government-3e","",,false,true,false,"2021-07-19T14:00:00-05:00",,,"30e47181-f52c-4a91-9c11-33380c428268","<p data-block-key=""gzr9x""><i>American Government 3e</i> aligns with the topics and objectives of many government courses. Faculty involved in the project have endeavored to make government workings, issues, debates, and impacts meaningful and memorable to students while maintaining the conceptual coverage and rigor inherent in the subject. With this objective in mind, the content of this textbook has been developed and arranged to provide a logical progression from the fundamental principles of institutional design at the founding, to avenues of political participation, to thorough coverage of the political structures that constitute American government. The book builds upon what students have already learned and emphasizes connections between topics as well as between theory and applications. The goal of each section is to enable students not just to recognize concepts, but to work with them in ways that will be useful in later courses, future careers, and as engaged citizens.</p><p data-block-key=""72bsq"">In order to help students understand the ways that government, society, and individuals interconnect, the revision includes more examples and details regarding the lived experiences of diverse groups and communities within the United States. The authors and reviewers sought to strike a balance between confronting the negative and harmful elements of American government, history, and current events, while demonstrating progress in overcoming them. In doing so, the approach seeks to provide instructors with ample opportunities to open discussions, extend and update concepts, and drive deeper engagement.<br/></p><p data-block-key=""8ssd7"">Changes made in <i>American Government 3e</i> are described in the preface to help instructors transition to the third edition. The second edition of <i>American Government</i> by OpenStax is available in web view <a href=""https://openstax.org/books/american-government-2e/pages/1-introduction"">here</a>.</p>"
"anatomy-and-physiology","deprecated","Anatomy and Physiology","Anatomy & Physiology","Anatomy & Physiology",,"2013-04-25","2016-03-09T09:48:12.280000-06:00","2022-04-04T14:49:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/anatomy_physiology.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Anatomyandphysiology_1_v33lwul.svg","gray","yellow",false,"1938168135","978-1-938168-13-0",,"978-1-50669-802-1","1-947172-04-2","978-1-947172-04-3","1-938168-30-5","978-1-938168-30-7",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/AnatomyandPhysiology-OP.pdf",,"https://www.oercommons.org/groups/openstax-anatomy-and-physiology/1054/?__hub_id=27",,"","https://itunes.apple.com/us/book/anatomy-and-physiology/id899593383","","https://cnx.org/contents/14fb4ad7-39a1-4eee-ab6e-3ef2482e3e22","https://openstax.org/books/anatomy-and-physiology/pages/1-introduction",true,"http://www.bookshare.org/browse/book/679045",false,"https://buyprint.openstax.org/anatomy-and-physiology","https://amzn.to/3nGj6dh",,false,true,true,,2153,109856747,"14fb4ad7-39a1-4eee-ab6e-3ef2482e3e22","<p data-block-key=""0z9p7""><i>Anatomy and Physiology</i> is a dynamic textbook for the two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body system and covers standard scope and sequence requirements. Its lucid text, strategically constructed art, career features, and links to external learning tools address the critical teaching and learning challenges in the course. The web-based version of <i>Anatomy and Physiology</i> also features links to surgical videos, histology, and interactive diagrams.<br/></p>"
"anatomy-and-physiology-2e","live","Anatomy and Physiology 2e","Anatomy & Physiology","Anatomy & Physiology 2e",,"2022-04-20","2022-03-25T12:23:21.046000-05:00","2023-03-16T12:28:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/anatomy_and_physiology_2e_webcard.svg","https://assets.openstax.org/oscms-prodcms/media/documents/anatomy_and_physiology_2e_title.svg","orange","grey",false,,"978-1-711494-06-7",,"978-1-711494-05-0",,"978-1-951693-42-8",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Anatomy_and_Physiology_2e_-_WEB_c9nD9QL.pdf",,"https://www.oercommons.org/groups/openstax-anatomy-and-physiology/1054/?__hub_id=27",,"","","","https://cnx.org/contents/4fd99458-6fdf-49bc-8688-a6dc17a1268d","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-introduction",false,"",false,"","",,false,false,false,,,,"4fd99458-6fdf-49bc-8688-a6dc17a1268d","<p data-block-key=""u7ecw""><i>Anatomy and Physiology 2e</i> is developed to meet the scope and sequence for a two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body systems. The revision focuses on inclusive and equitable instruction and includes new student support. Illustrations have been extensively revised to be clearer and more inclusive. The web-based version of <i>Anatomy and Physiology 2e</i> also features links to surgical videos, histology, and interactive diagrams. Please learn more about the changes by previewing the preface.</p><p data-block-key=""e6jpb"">The first edition of <i>Anatomy and Physiology</i> by OpenStax is available in web view <a href=""https://openstax.org/books/anatomy-and-physiology/pages/1-introduction"">here</a>.</p><p data-block-key=""3nbp0"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
"astronomy","deprecated","Astronomy","Astronomy","Astronomy",,"2016-10-13","2016-04-22T11:43:56.676000-05:00","2022-01-28T10:55:00-06:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/astronomy.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Astronomy.svg","blue","yellow",false,"1-938168-28-3","978-1-938168-28-4",,"978-1-50669-803-8","1-947172-24-7","978-1-947172-24-1","0-9986257-3-6","978-0-9986257-3-7",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Astronomy-OP_zItt6LJ.pdf",,"https://www.oercommons.org/groups/openstax-astronomy/1283/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/Lab_Exercises_for_Astro_101_Topical_Listing_lPXQZLU.pdf","Compilation of free astronomy lab activities","https://itunes.apple.com/us/book/id1208733375","","https://cnx.org/contents/2e737be8-ea65-48c3-aa0a-9f35b4c6a966","https://openstax.org/books/astronomy/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/astronomy","https://amzn.to/38G7gLX",,false,false,false,,1312,55643594,"2e737be8-ea65-48c3-aa0a-9f35b4c6a966","<p data-block-key=""3ntc2""><i>Astronomy</i> is designed to meet the scope and sequence requirements of one- or two-semester introductory astronomy courses. The book begins with relevant scientific fundamentals and progresses through an exploration of the solar system, stars, galaxies, and cosmology. The <i>Astronomy</i> textbook builds student understanding through the use of relevant analogies, clear and non-technical explanations, and rich illustrations. Mathematics is included in a flexible manner to meet the needs of individual instructors.</p>"
"astronomy-2e","live","Astronomy 2e","Astronomy","Astronomy",,"2022-03-09","2022-02-18T11:42:49.296000-06:00","2023-01-23T15:39:00-06:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/astronomy_2e_webcard.svg","https://assets.openstax.org/oscms-prodcms/media/documents/astronomy_2e_title.svg","light-blue","white_blue",false,,"978-1-711470-57-3",,"978-1-711470-56-6",,"978-1-951693-50-3",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Astronomy-2e-WEB_6qnoaIc.pdf",,"https://www.oercommons.org/groups/openstax-astronomy/1283/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/Lab_Exercises_for_Astro_101_Topical_Listing.pdf","Compilation of free astronomy lab activities","","","https://cnx.org/contents/4c29f9e5-a53d-42c0-bdb5-091990527d79","https://openstax.org/books/astronomy-2e/pages/1-introduction",false,"",false,"","",,false,true,false,,1312,55643594,"4c29f9e5-a53d-42c0-bdb5-091990527d79","<p data-block-key=""kvatc"">Designed to meet the scope and sequence of your course, <i>Astronomy 2e</i> is written in clear non-technical language, with the occasional touch of humor and a wide range of clarifying illustrations. It has many analogies drawn from everyday life to help non-science majors appreciate, on their own terms, what our modern exploration of the universe is revealing. The book can be used for either a one-semester or two-semester introductory course.</p><p data-block-key=""8r5ii"">The second edition has been updated according to new exploration and discoveries. The second edition also includes a significant amount of new art and images. The first edition of <i>Astronomy</i> by OpenStax is available in web view <a href=""https://openstax.org/books/astronomy/pages/1-introduction"">here</a>.</p><p data-block-key=""2hgmc"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
"biology","retired","Biology","Biology","Biology",,"2016-10-21","2016-12-16T09:41:25.519000-06:00","2019-10-14T15:41:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/biology.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Biology.svg","green","yellow",false,"1938168097","978-1-938168-09-3",,,"1-947172-02-6","978-1-947172-02-9","1-938168-21-6","978-1-938168-21-5",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Biology-OP_xQoZM8Z.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Biology-LR_2ufca7k.pdf","https://www.oercommons.org/groups/openstax-biology/1052/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/Activities_for_engaging_students_in_Biology_using_animations_1.pdf","Biology animation activity","https://itunes.apple.com/us/book/biology/id738245107","","https://cnx.org/contents/185cbf87-c72e-48f5-b51e-f14f21b5eabd","https://openstax.org/books/biology/pages/1-introduction",false,"https://www.bookshare.org/browse/book/1044445?returnPath=L3NlYXJjaD9tb2R1bGVOYW1lPXB1YmxpYyZrZXl3b3JkPW9wZW5zdGF4",false,"https://www.amazon.com/Biology-OpenStax-Vladimir-Jurukovski-Avissar/dp/1506698042","https://www.amazon.com/Biology-Yael-Avissar-ebook/dp/B075FC6F79/ref=sr_1_19_twi_kin_1?s=books&ie=UTF8&qid=1508964001&sr=1-19&keywords=OpenStax",,true,true,false,,2806,169364343,"185cbf87-c72e-48f5-b51e-f14f21b5eabd","<p data-block-key=""ok1k7""><i>Biology</i> is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. <i>Biology</i> includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes clicker questions to help students understand—and apply—key concepts.<br/><br/> This book has been superseded by <a href=""https://openstax.org/details/books/biology-2e"">Biology 2e</a> and is no longer being updated. We recommend that you use Biology 2e, available <a href=""https://openstax.org/books/biology/pages/1-introduction"">here</a>.</p>"
