.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Jay Abramson","Arizona State University","",true,true
"Valeree Falduto","Palm Beach State College","",false,false
"Rachael Gross","Towson University","",false,false
"David Lippman","Pierce College","",false,false
"Melonie Rasmussen","Pierce College","",false,false
"Rick Norwood","East Tennessee State University","",false,false
"Nicholas Belloit","Florida State College at Jacksonville","",false,false
"Harold Whipple","Formerly of Columbia College","",false,false
"Jean-Marie Magnier","Springfield Technical Community College","",false,false
"Christina Fernandez","","",false,false
