.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Glen Krutz","Oklahoma State University","",true,true
"Sylvie Waskiewicz, PhD","","",true,false
"Prosper Bernard, Jr.","City University of New York","",false,false
"Jennifer Danley-Scott","Texas Woman’s University","",false,false
"Ann Kordas","Johnson & Wales University","",false,false
"Christopher Lawrence","Middle Georgia State College","",false,false
"Tonya Neaves","George Mason University","",false,false
"Adam Newmark","Appalachian State University","",false,false
"Brooks D. Simpson","Arizona State University","",false,false
"Joel Webb","Tulane University","",false,false
"Abram Trosky","US Army War College","",false,false
"Shawn Williams","Campbellsville University","",false,false
"Rhonda Wrzenski","Indiana University Southeast","",false,false
