.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"J. Gordon Betts","Tyler Junior College","",true,true
"Kelly A. Young","California State University, Long Beach","",true,true
"James A. Wise","Hampton University","",true,true
"Eddie Johnson","Central Oregon Community College","",true,true
"Brandon Poe","Springfield Technical Community College","",true,true
"Dean H. Kruse","Portland Community College","",true,true
"Oksana Korol","Aims Community College","",true,true
"Jody E. Johnson","Arapahoe Community College","",true,true
"Mark Womble","Youngstown State University","",true,true
"Peter DeSaix","University of North Carolina at Chapel Hill","",true,true
"William Blaker","Furman University","",false,false
"Julie Bowers","East Tennessee State University","",false,false
"Matthew Barlow","Eastern New Mexico University","",false,false
"Michael Hortsch","University of Michigan","",false,false
"Emily Bradshaw","Florida Southern College","",false,false
"Kathleen Tallman","Azusa Pacific University","",false,false
"Boyd Campbell","Southwest College of Naturopathic Medicine and Health Sciences","",false,false
"Rohinton Tarapore","University of Pennsylvania","",false,false
"Branko Jablanovic","College of Lake County","",false,false
"Pamela Dobbins","Shelton State Community College","",false,false
"Brian Shmaefsky","Lone Star College System","",false,false
"Barbara Christie-Pope","Cornell College","",false,false
"Douglas Sizemore","Bevill State Community College","",false,false
"Maurice Culver","Florida State College at Jacksonville","",false,false
"Debra McLaughlin","University of Maryland University College","",false,false
"Bruce Maring","Daytona State College","",false,false
"Peter Dukehart","Three Rivers Community College","",false,false
"Susan Dentel","Washtenaw Community College","",false,false
"Elizabeth Tattersall","Western Nevada College","",false,false
"Margaret Weck","St. Louis College of Pharmacy","",false,false
"Neil Westergaard","Williston State College","",false,false
"Marnie Chapman","University of Alaska, Sitka","",false,false
"William Kleinelp","Middlesex County College","",false,false
"Brenda Leady","University of Toledo","",false,false
"Susanna Heinze","Skagit Valley College","",false,false
"Julie May","William Carey University","",false,false
"Ann Caplea","Walsh University","",false,false
"Kim Aaronson","Aquarius Institute; Triton College","",false,false
"Lopamudra Agarwal","Augusta Technical College","",false,false
"Gary Allen","Dalhousie University","",false,false
"Nishi Bryska","University of North Carolina, Charlotte","",false,false
"Susan Caley Opsal","Illinois Valley Community College","",false,false
"Norman Johnson","University of Massachusetts Amherst","",false,false
"Sarah Leupen","University of Maryland, Baltimore County","",false,false
"Robert Mallet","University of North Texas Health Science Center","",false,false
"Kenneth Crane","Texarkana College","",false,false
"Heather Cushman","Tacoma Community College","",false,false
"Chaya Gopalan","St. Louis College of Pharmacy","",false,false
"Mark Hubley","Prince George's Community College","",false,false
"Dale Horeth","Tidewater Community College","",false,false
"Kathleen Weiss","George Fox University","",false,false
"Sharon Ellerton","Queensborough Community College","",false,false
"Janis Thompson","Lorain County Community College","",false,false
"Rita Thrasher","Pensacola State College","",false,false
"Nicholas Mitchell","St. Bonaventure University","",false,false
"David Van Wylen","St. Olaf College","",false,false
"Elisabeth Martin","College of Lake County","",false,false
"Ivan Paul","John Wood Community College","",false,false
"Lihua Liang","Johns Hopkins University","",false,false
"David Wortham","West Georgia Technical College","",false,false
"Shobhana Natarajan","Alcon Laboratories, Inc.","",false,false
"Betsy Ott","Tyler Junior College","",false,false
"Sondra Dubowsky","McLennan Community College","",false,false
"Mary Jane Niles","University of San Francisco","",false,false
"Mark Thomas","University of Northern Colorado","",false,false
"Mike Pyle","Olivet Nazarene University","",false,false
"Umesh Yadav","University of Texas Medical Branch","",false,false
"Ann Henninger","Wartburg College","",false,false
"Elizabeth DuPriest","Warner Pacific College","",false,false
"Timothy Ballard","University of North Carolina Wilmington","",false,false
"Phillip Nicotera","St. Petersburg College","",false,false
"Michael Giangrande","Oakland Community College","",false,false
"Natalie Maxwell","Carl Albert State College, Sallisaw","",false,false
"Cameron Perkins","South Georgia College","",false,false
"Robert Rawding","Gannon University","",false,false
"Lynn Gargan","Tarant County College","",false,false
"Jeff Keyte","College of Saint Mary","",false,false
"Victor Greco","Chattahoochee Technical College","",false,false
"Robert Allison","McLennan Community College","",false,false
"Heather Armbruster","Southern Union State Community College","",false,false
"Lynn Wandrey","Mott Community College","",false,false
"David Pfeiffer","University of Alaska, Anchorage","",false,false
"Mark Jonasson","North Arkansas College","",false,false
"Susan Spencer","Mount Hood Community College","",false,false
"Leigh Kleinert","Grand Rapids Community College","",false,false
"Jason Schreer","State University of New York at Potsdam","",false,false
"Thomas Pilat","Illinois Central College","",false,false
"Ikemefuna Nwosu","Parkland College; Lake Land College","",false,false
"Patty Dolan","Pacific Lutheran University","",false,false
"Ellen DuPré","Central College","",false,false
"John Lepri","University of North Carolina, Greensboro","",false,false
"Carla Endres","Utah State University - College of Eastern Utah: San Juan Campus","",false,false
"Eileen Preston","Tarrant County College","",false,false
"Eric Sun","Middle Georgia State College","",false,false
"Tom Swenson","Ithaca College","",false,false
"Tony Yates","Oklahoma Baptist University","",false,false
"Justin York","Glendale Community College","",false,false
"Cheri Zao","North Idaho College","",false,false
"Elena Zoubina","Bridgewater State University; Massasoit Community College","",false,false
"Noelle Cutter","Molloy College","",false,false
"Lynnette Danzl-Tauer","Rock Valley College","",false,false
"Myriam Feldman","Lake Washington Institute of Technology; Cascadia Community College","",false,false
"Jane Davis","Aurora University","",false,false
"Rosemary Hubbard","Marymount University","",false,false
"Aaron Payette","College of Southern Nevada","",false,false
"Greg Fitch","Avila University","",false,false
"Robert Sullivan","Marist College","",false,false
"AnnMarie DelliPizzi","Dominican College","",false,false
"Cynthia Standley","University of Arizona","",false,false
"Shobhana Natarajan","Brookhaven College","",false,false
"Scott Payne","Kentucky Wesleyan College","",false,false
"Laird Sheldahl","Mt. Hood Community College","",false,false
"Pam Elf","University of Minnesota","",false,false
