.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Shobhana Natarajan","Brookhaven College","",false,false
"Andrea Hazard","SUNY Cortland","",false,false
"Norman Johnson","University of Massachusetts - Amherst","",false,false
"Sangha Saha","City College of Chicago","",false,false
"Graciela Brelles-Marino","California State University Pomona","",false,false
"Lisa Bonneau","Metropolitan Community College - Blue River","",false,false
"Summer Allen","Brown University","",false,false
"Connie Rye","East Mississippi Community College","",true,true
"Robert Wise","University of Wisconsin, Oshkosh","",true,true
"Vladimir Jurukovski","Suffolk County Community College","",true,true
"Jean DeSaix","University of North Carolina at Chapel Hill","",true,true
"Jung Choi","Georgia Institute of Technology","",true,true
"Yael Avissar","Rhode Island College","",true,true
"Allison van de Meene","University of Melbourne","",false,false
"Myriam Feldman","Lake Washington Institute of Technology","",false,false
"Bob Sullivan","Marist College","",false,false
"Linda Flora","Delaware County Community College","",false,false
