.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Gilbert Strang","Massachusetts Institute of Technology","",true,true
"Joseph Lakey","New Mexico State University","",false,false
"Elaine A. Terry","Saint Joseph’s University","",false,false
"Alfred K. Mulzet","Florida State College at Jacksonville","",false,false
"Sheri J. Boyd","Rollins College","",false,false
"Joyati Debnath","Winona State University","",false,false
"Michelle Merriweather","Bronxville High School","",false,false
"David Smith","University of the Virgin Islands","",false,false
"Nicoleta Virginia Bila","Fayetteville State University","",false,false
"Valeree Falduto","Palm Beach State College","",false,false
"Kirsten R. Messer","Colorado State University-Pueblo","",false,false
"William Radulovich","Formerly at Florida State College at Jacksonville","",false,false
"Erica M. Rutter","Arizona State University","",false,false
"David Torain","Hampton University","",false,false
"Edwin “Jed” Herman","University of Wisconsin-Stevens Point","",true,true
"Catherine Abbott","Keuka College","",false,false
"Julie Levandosky","Framingham State University","",false,false
"David McCune","William Jewell College","",false,false
