.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Paul Flowers","University of North Carolina at Pembroke","",true,true
"Don Frantz","Wilfrid Laurier University","",false,false
"Paul Hooker","Westminster College","",false,false
"George Kaminski","Worcester Polytechnic Institute","",false,false
"Jennifer Look","Mercer University","",false,false
"Carol Martinez","Central New Mexico Community College","",false,false
"Andrew Eklund","Alfred University","",false,false
"Mark Blaser","Shasta College","",false,false
"Klaus Theopold","University of Delaware","",true,true
"Richard Langley","Stephen F. Austin State University","",true,true
"Tom Sorensen","University of Wisconsin-Milwaukee","",false,false
"Allison Soult","University of Kentucky","",false,false
"Troy Milliken","Jackson State University","",false,false
"Vicki Moravec","Trine University","",false,false
"Jason Powell","Ferrum College","",false,false
"Emad El-Giar","University of Louisiana at Monroe","",false,false
"Simon Bott","University of Houston","",false,false
"Don Carpenetti","Craven Community College","",false,false
"William R. Robinson, PhD","Purdue University","",true,false
