.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Gregg Wolfe","Avonworth High School","",true,true
"Erika Gasper","Science Writer, MA, University of California, Santa Cruz","",true,false
"John Stoke","Science Writer, MS, University of Chicago","",true,false
"Julie Kretchman","Science Writer, BS, University of Toronto","",true,false
"David Anderson","Science Writer, PhD, College of William and Mary","",true,false
"Nathan Czuba","Sabio Academy","",true,true
"Sudhi Oberoi","Raman Research Institute","",true,true
"Liza Pujji","Manukau Institute of Technology","",true,true
"Irina Lyublinskaya","CUNY College of Staten Island","",true,true
"Douglas Ingram","Texas Christian University","",true,true
"Kenneth Podolak","State University of New York, Plattsburgh","",false,false
"Henry Smith","River Parishes Community College","",false,false
