.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Nick Reeves","Mt. San Jacinto College","",false,false
"Jean DeSaix","University of North Carolina at Chapel Hill","",false,false
"Barbara Kuehner","Hawaii Community College","",false,false
"Brenda Leady","University of Toledo","",false,false
"Lisa Boggs","Southwestern Oklahoma State University","",false,false
"Sherryl Broverman","Duke University","",false,false
"David Byres","Florida State College at Jacksonville","",false,false
"Bernie Marcus","Genesee Community College","",false,false
"Flora Mhlanga","Lipscomb University","",false,false
"Madeline Mignone","Dominican College","",false,false
"Elizabeth Nash","Long Beach City College","",false,false
"Mark Newton","San Jose City College","",false,false
"Diana Oliveras","University of Colorado Boulder","",false,false
"Joel Piperberg","Millersville University","",false,false
"Ann Reisenauer","San Jose State University","",false,false
"Lynn Rumfelt","Gordon College","",false,false
"Samantha Fowler","Clayton State University","",true,true
"Rebecca Roush","Sandhills Community College","",true,true
"James Wise","Hampton University","",true,true
"Mark Belk","Brigham Young University","",false,false
"Aaron Cassill","The University of Texas at San Antonio","",false,false
"Karen Champ","College of Central Florida","",false,false
"Sue Chaplin","University of St. Thomas","",false,false
"Diane Day","Clayton State University","",false,false
"Michael Rutledge","Middle Tennessee State University","",false,false
"Ann Paterson","Williams Baptist College","",false,false
"Donald Slish","SUNY Plattsburgh","",false,false
"David Hunnicutt","St. Norbert College","",false,false
"Edward Saiff","Ramapo College of New Jersey","",false,false
"Brian Shmaefsky","Kingwood College","",false,false
"Gary Shultz","Marshall University","",false,false
"Anh-Hue Tu","Georgia Southwestern State University","",false,false
"Elena Zoubina","Bridgewater State University","",false,false
