.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Michael Laverty","Colorado State University Global","",true,true
"Chris Littel","North Carolina State University","",true,false
"Chandra D. Arthur","Cuyahoga Community College","",false,false
"Martin S. Bressler","Southeastern Oklahoma State University","",false,false
"Stephen M. Byars","USC Marshall School of Business","",false,false
"Bryan Coleman","Assumption College","",false,false
"Mehran C. Ferdowsian","Wilkes University","",false,false
"Geoffrey Graybeal","Georgia State University","",false,false
"Wm. David Hawkins","Northwestern Oklahoma State University","",false,false
"Jennifer Herrera","Capella University","",false,false
"Lyzona Marshall","Seton Hill University","",false,false
"Angela Mitchell","Wilmington College","",false,false
"William Nantz","Houston Community College","",false,false
"Denisse Olivas","University of Texas at El Paso","",false,false
"Karli Peterson","Colorado State University Global","",false,false
"Mark A. Poepsel","Southern Illinois University Edwardsville","",false,false
"Kevin Raiford","College of Southern Nevada","",false,false
"Jeffrey J. Sabolish","University of Michigan-Flint","",false,false
"Sally Sledge","Norfolk State University","",false,false
"Kurt Stanberry","University of Houston-Downtown","",false,false
