.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Nathan Smith","Houston Community College","",true,true
"Gregory Browne","Eastern Michigan University","",false,false
"Parish Conkling","Houston Community College","",false,false
"Naomi Friedman","University of North Carolina, Asheville","",false,false
"Allison Fritz","Chadron State College","",false,false
"Daniel Garro","Rider University","",false,false
"Jeremy Gallegos","Friends University","",false,false
"Jon Gill","Gustavus Adolphus College","",false,false
"Gayle Horton","Santa Fe College","",false,false
"Maryellen Lo Bosco","Suffolk Community College","",false,false
"Rebecca A. Longtin","State University of New York, New Paltz","",false,false
"Corey McCall","The Cornell Prison Education Program","",false,false
"Kurt Stuke","New England College","",false,false
