.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Mark Carl Rom","Georgetown University","",true,true
"Masaki Hidaka","American University","",true,true
"Rachel Bzostek Walker","Collin College","",true,true
"Emilia B. Carvalho","Lone Star College","",false,false
"Rebecca Eissler","San Francisco State University","",false,false
"Terri Susan Fine","University of Central Florida","",false,false
"Cassandra Khatri","Lone Star College","",false,false
"Timothy Lim","California State University, Los Angeles","",false,false
"Brenda Norton","Angelo State University","",false,false
"Robert Postic","University of Findlay","",false,false
"Joseph Prud’homme","Washington College","",false,false
"Shyam Krishnan Sriram","Gonzaga University","",false,false
"Victoria Williams","Alvernia University","",false,false
