.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Tonja R. Conerly","San Jacinto College","",true,true
"Kathleen Holmes","Northern Essex Community College","",true,false
"Asha Lal Tamang","Minneapolis Community and Technical College & North Hennepin Community College","",true,false
"Jennifer Hensley","Vincennes University","",false,false
"Jennifer L. Trost","University of St. Thomas","",false,false
"Pamela Alcasey","Central Texas College","",false,false
"Kate McGonigal","Fort Hays State University","",false,false
"Heather Griffiths","Fayetteville State University","",false,false
"Nathan Keirns","Zane State College","",false,false
"Eric Strayer","Hartnell College","",false,false
"Tommy Sadler","Union University","",false,false
"Susan Cody-Rydzewski","Georgia Perimeter College","",false,false
"Gail Scaramuzzo","Lackawanna College","",false,false
"Sally Vyain","Ivy Tech Community College","",false,false
"Jeff Bry","Minnesota State Community and Technical College at Moorhead","",false,false
"Faye Jones","Mississippi Gulf Coast Community College","",false,false
