.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Nina Parker","Shenandoah University","",true,true
"Mark Schneegurt","Wichita State University","",true,true
"Anh-Hue Thi Tu","Georgia Southwestern State University","",true,true
"Summer Allen","Brown University","",false,false
"Ann Auman","Pacific Lutheran University","",false,false
"Graciela Brelles-Mariño","Universidad Nacional de la Plata","",false,false
"Myriam Alhadeff Feldman","Lake Washington Institute of Technology","",false,false
"Paul Flowers","University of North Carolina–Pembroke","",false,false
"George Pinchuk","Mississippi University for Women","",false,false
"Ben Rowley","University of Central Arkansas","",false,false
"Mark Sutherland","Hendrix College","",false,false
"Philip Lister","Central New Mexico Community College","",true,true
"Brian M. Forster","Saint Joseph’s University","",true,true
"Clifton Franklund","Ferris State University","",false,false
"Ann Paterson","Williams Baptist University","",false,false
