.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"J. Stewart Black","INSEAD","",false,true
"David S. Bright","Wright State University","",false,false
"Donald G. Gardner","University of Colorado-Colorado Springs","",false,false
"Eva Hartmann","University of Richmond","",false,false
"Jason Lambert","Texas Woman’s University","",false,false
"Laura M. Leduc","James Madison University","",false,false
"Joy Leopold","Webster University","",false,false
"James S. O’Rourke","University of Notre Dame","",false,false
"Jon L. Pierce","University of Minnesota-Duluth","",false,false
"Richard M. Steers","University of Oregon","",false,false
"Siri Terjesen","American University","",false,false
"Joseph Weiss","Bentley University","",false,false
