.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Jay Abramson","Arizona State University","",true,true
"Valeree Falduto","Palm Beach State College","",false,true
"Rachael Gross","Towson University","",false,true
"David Lippman","Pierce College","",false,true
"Melonie Rasmussen","Pierce College","",false,true
"Rick Norwood","East Tennessee State University","",false,true
"Nicholas Belloit","Florida State College at Jacksonville","",false,true
"Harold Whipple","Formerly of Columbia College","",false,false
"Jean-Marie Magnier","Springfield Technical Community College","",false,true
"Christina Fernandez","","",false,false
