.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"David S. Bright","Wright State University","United States of America",false,false
"Anastasia H. Cortes","Virginia Tech University","United States of America",false,false
"Eva Hartmann","University of Richmond","United States of America",false,false
"K. Praveen Parboteeah","University of Wisconsin-Whitewater","United States of America",false,false
"Jon L. Pierce","University of Minnesota-Duluth","United States of America",false,false
"Monique Reece","","United States of America",false,false
"Amit Shah","Frostburg State University","United States of America",false,false
"Siri Terjesen","American University","United States of America",false,false
"Joseph Weiss","Bentley University","United States of America",false,false
"Margaret A. White","Oklahoma State University","United States of America",false,false
"Donald G. Gardner","University of Colorado-Colorado Springs","United States of America",false,false
"Jason Lambert","Texas Woman’s University","United States of America",false,false
"Laura M. Leduc","James Madison University","United States of America",false,false
"Joy Leopold","Webster University","United States of America",false,false
"Jeffrey Muldoon","Emporia State University","United States of America",false,false
"James S. O’Rourke","University of Notre Dame","United States of America",false,false
