.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Mitchell Franklin","LeMoyne College (Financial Accounting)","",true,true
"Patty Graybeal","University of Michigan-Dearborn (Managerial Accounting)","",true,true
"Dixon Cooper","Ouachita Baptist University","",true,false
"LuAnn Bean","Florida Institute of Technology","",false,false
"Ian Burt","Niagara University","",false,false
"Shana Carr","San Diego City College","",false,false
"David T. Collins","Bellarmine University","",false,false
"Shawna Coram","Florida State College at Jacksonville","",false,false
"Kenneth Creech","Briar Cliff University","",false,false
"Alan Czyzewski","Indiana State University","",false,false
"Michael Gauci","Florida Atlantic University","",false,false
"Cindy Greenman","Embry-Riddle Aeronautical University","",false,false
"Michael Haselkorn","Bentley University","",false,false
"Christine Irujo","Westfield State University","",false,false
"Cynthia Johnson","University of Arkansas at Little Rock","",false,false
"Cynthia Khanlarian","North Carolina Agricultural and Technical State University","",false,false
"Terri Lukshaitis","Ferris State University","",false,false
"Debra Luna","Southwest University","",false,false
"Bill Nantz","Houston Community College","",false,false
"Tatyana Pashnyak","Bainbridge State College","",false,false
"Brian Pusateri","University of Scranton","",false,false
"Ellen Rackas","Muhlenberg College","",false,false
"Marianne Rexer","Wilkes University","",false,false
"Roslyn Roberts","California State University, Sacramento","",false,false
"Rebecca Rosner","Long Island University","",false,false
"Jeffrey J. Sabolish","University of Michigan-Flint","",false,false
"Jason E. Swartzlander","Bluffton University","",false,false
"Diane Tanner","University of North Florida","",false,false
"Mark M. Ulrich","Queensborough Community College","",false,false
"Janis Weber","University of Louisiana Monroe","",false,false
"Linda Williams","Tidewater Community College","",false,false
"Darryl Woolley","University of Idaho","",false,false
