.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Rose M. Spielman","Formerly of Quinnipiac University","",true,true
"William J. Jenkins","Mercer University","",true,false
"Marilyn D. Lovett","Spelman College","",true,false
"Mara Aruguete","Lincoln University","",false,false
"Laura Bryant","Eastern Gateway Community College","",false,false
"Barbara Chappell","Walden University","",false,false
"Kathryn Dumper","Bainbridge State College","",false,false
"Arlene Lacombe","Saint Joseph’s University","",false,false
"Julie Lazzara","Paradise Valley Community College","",false,false
"Tammy McClain","West Liberty University","",false,false
"Barbara B. Oswald","Miami University","",false,false
"Marion Perlmutter","University of Michigan","",false,false
"Mark D. Thomas","Albany State University","",false,false
