.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Michelle Bachelor Robinson","Spelman College","",true,true
"Maria Jerskey","City University of New York","",true,false
"featuring Toby Fulwiler","Emeritus, University of Vermont","",true,false
"Michelle Baker","Principal, Conservation Writing Pro","",false,false
"Mark Bernheim","Emeritus, Miami University","",false,false
"Sheila Carter-Tod","Virginia Polytechnic Institute and State University","",false,false
"Brian Flynn","Midlands Technical College","",false,false
"Victoria Friedrich","Writer and Curriculum Designer","",false,false
"William Gary","Henderson Community College","",false,false
"Carol Hollar-Zwick","Writer and Curriculum Designer","",false,false
"Craig A. Meyer","Texas A&M University–Kingsville","",false,false
"Cynthia Mwenja","University of Montevallo","",false,false
"Susie Thurman","retired from Henderson Community College","",false,false
